Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
>55,No,Travel_Frequently," >1,000",Research & Development,< 10 km,3,Medical,1,1071,1,Female,40 - 70,3,1,Research Scientist,3,Married,"< 5,000",12154,> 2 ,Y,No,19,3,2,80,1,18,4,3,3 - 5 years,4,0,3
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,5,Medical,1,1073,4,Female,40 - 70,2,3,Manufacturing Director,4,Single,"5,000 - 10,000",15669,> 2 ,Y,No,11,3,2,80,0,15,2,2,> 12 years,8,7,8
>55,No,Non-Travel,below 500,Research & Development,< 10 km,1,Medical,1,1074,3,Male,<40,2,4,Manager,1,Single,">10,000",17323,> 5 years,Y,No,15,3,2,80,0,31,3,4, 6 - 12 years,7,6,2
35-44,No,Travel_Rarely,below 500,Sales,> 20km,3,Medical,1,1076,3,Male,> 70,2,3,Sales Executive,4,Divorced,">10,000",5268,3 - 5 years,Y,No,13,3,3,80,1,18,5,3,< 2 years,0,0,0
<25,Yes,Travel_Frequently,500 - 1000,Sales,< 10 km,3,Marketing,1,1077,4,Female,40 - 70,3,1,Sales Representative,4,Single,"< 5,000",17205,> 2 ,Y,Yes,14,3,2,80,0,2,3,3,< 2 years,2,0,2
<25,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,1079,3,Female,<40,2,1,Laboratory Technician,1,Single,"< 5,000",17258,> 2 ,Y,No,13,3,1,80,0,1,6,2,< 2 years,0,1,0
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,1080,4,Female,> 70,2,2,Research Scientist,1,Divorced,"< 5,000",21029,> 5 years,Y,Yes,23,4,1,80,3,19,2,3,> 12 years,13,1,7
45-54,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,1081,1,Male,<40,3,1,Research Scientist,3,Married,"< 5,000",10332,> 5 years,Y,Yes,12,3,3,80,3,18,2,4, 6 - 12 years,0,2,7
25-34,Yes,Non-Travel," >1,000",Research & Development,> 20km,2,Technical Degree,1,1082,2,Male,> 70,2,3,Healthcare Representative,1,Single,"5,000 - 10,000",12355,> 2 ,Y,No,12,3,1,80,0,10,2,2, 6 - 12 years,7,1,9
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,1083,1,Male,40 - 70,2,1,Laboratory Technician,1,Married,"< 5,000",11141,> 2 ,Y,No,16,3,1,80,2,6,2,3,3 - 5 years,3,1,3
25-34,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Other,1,1084,3,Male,> 70,3,2,Manufacturing Director,1,Married,"5,000 - 10,000",9096,> 2 ,Y,No,15,3,3,80,1,7,1,2, 6 - 12 years,2,0,2
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Technical Degree,1,1085,2,Female,40 - 70,4,1,Research Scientist,3,Married,"< 5,000",18863,> 2 ,Y,No,13,3,3,80,0,10,3,3, 6 - 12 years,6,0,8
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,1,Life Sciences,1,1088,3,Female,40 - 70,2,3,Healthcare Representative,3,Married,"5,000 - 10,000",24608,> 2 ,Y,No,18,3,1,80,1,20,4,2,> 12 years,9,1,9
35-44,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,4,Technical Degree,1,1092,1,Male,40 - 70,3,3,Healthcare Representative,4,Married,">10,000",26542,3 - 5 years,Y,No,20,4,4,80,1,14,6,3, 6 - 12 years,10,11,1
25-34,No,Non-Travel," >1,000",Research & Development,< 10 km,5,Life Sciences,1,1094,1,Male,> 70,1,1,Laboratory Technician,3,Married,"< 5,000",5869,> 2 ,Y,No,19,3,4,80,3,3,4,3,3 - 5 years,2,1,2
>55,No,Travel_Frequently," >1,000",Research & Development,< 10 km,1,Life Sciences,1,1096,4,Male,40 - 70,3,3,Manufacturing Director,2,Married,">10,000",15813,> 5 years,Y,No,18,3,2,80,1,23,4,3,3 - 5 years,2,1,2
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Other,1,1097,3,Female,40 - 70,3,2,Research Scientist,3,Single,"< 5,000",7909,> 5 years,Y,No,13,3,4,80,0,10,4,4, 6 - 12 years,7,1,7
35-44,Yes,Travel_Rarely," >1,000",Human Resources,< 10 km,2,Medical,1,1098,2,Male,> 70,2,3,Human Resources,1,Married,">10,000",2326,> 5 years,Y,No,14,3,4,80,1,24,1,3,> 12 years,6,3,6
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1099,4,Male,<40,2,3,Healthcare Representative,4,Divorced,"5,000 - 10,000",21214,3 - 5 years,Y,No,15,3,3,80,1,9,2,3,3 - 5 years,2,1,2
35-44,Yes,Travel_Rarely," >1,000",Sales,< 10 km,3,Technical Degree,1,1100,4,Male,> 70,3,3,Sales Executive,1,Single,"5,000 - 10,000",10333,> 2 ,Y,Yes,22,4,1,80,0,9,2,3, 6 - 12 years,7,4,7
25-34,Yes,Travel_Frequently,500 - 1000,Research & Development,> 20km,4,Medical,1,1101,1,Female,40 - 70,2,2,Research Scientist,3,Single,"< 5,000",3129,> 2 ,Y,No,22,4,2,80,0,14,4,3,> 12 years,7,3,8
25-34,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,2,Life Sciences,1,1102,1,Male,40 - 70,3,1,Laboratory Technician,3,Divorced,"< 5,000",22482,> 2 ,Y,No,16,3,4,80,1,4,5,2,3 - 5 years,2,2,2
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,1,Life Sciences,1,1103,1,Male,40 - 70,3,2,Healthcare Representative,4,Single,"5,000 - 10,000",22266,> 2 ,Y,No,17,3,3,80,0,7,1,2, 6 - 12 years,2,0,4
35-44,No,Travel_Rarely,below 500,Sales,< 10 km,4,Life Sciences,1,1105,4,Female,> 70,2,2,Sales Executive,4,Divorced,"5,000 - 10,000",24223,> 2 ,Y,Yes,14,3,3,80,3,8,5,3,< 2 years,0,0,0
25-34,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Technical Degree,1,1106,4,Male,<40,3,1,Laboratory Technician,4,Married,"< 5,000",4605,> 2 ,Y,Yes,15,3,2,80,1,7,3,4, 6 - 12 years,7,5,6
25-34,Yes,Travel_Rarely," >1,000",Research & Development,> 20km,3,Medical,1,1107,1,Male,<40,3,1,Laboratory Technician,3,Divorced,"< 5,000",19373,> 2 ,Y,No,20,4,3,80,1,1,0,2,< 2 years,1,0,0
25-34,Yes,Travel_Rarely," >1,000",Research & Development,> 20km,3,Medical,1,1108,1,Male,40 - 70,2,1,Research Scientist,2,Single,"< 5,000",2993,3 - 5 years,Y,Yes,20,4,2,80,0,5,0,3,< 2 years,2,2,2
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,1109,4,Male,<40,3,4,Manager,1,Married,">10,000",14399,> 2 ,Y,No,17,3,4,80,1,23,3,3,> 12 years,6,13,7
25-34,Yes,Travel_Frequently," >1,000",Research & Development,< 10 km,3,Medical,1,1111,1,Male,40 - 70,2,1,Laboratory Technician,2,Divorced,"< 5,000",7160,> 2 ,Y,No,15,3,1,80,2,1,2,3,< 2 years,0,0,0
45-54,Yes,Travel_Frequently,500 - 1000,Sales,< 10 km,4,Other,1,1113,4,Male,> 70,3,2,Sales Executive,3,Single,"< 5,000",17251,> 5 years,Y,Yes,14,3,4,80,0,5,4,3,< 2 years,0,0,0
25-34,No,Travel_Frequently,500 - 1000,Sales,< 10 km,3,Life Sciences,1,1114,4,Female,<40,3,2,Sales Executive,2,Married,"< 5,000",13401,> 2 ,Y,No,17,3,3,80,1,4,3,3,3 - 5 years,2,0,2
25-34,No,Non-Travel,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,1115,3,Male,<40,2,1,Research Scientist,4,Married,"< 5,000",22478,> 5 years,Y,No,17,3,4,80,3,6,2,3,< 2 years,0,0,0
45-54,No,Non-Travel," >1,000",Research & Development,< 10 km,4,Medical,1,1116,1,Male,<40,4,4,Manager,4,Single,">10,000",16154,> 2 ,Y,No,22,4,3,80,0,27,3,2,3 - 5 years,4,2,1
45-54,No,Non-Travel," >1,000",Sales,< 10 km,4,Life Sciences,1,1117,2,Female,40 - 70,2,2,Sales Executive,3,Married,"5,000 - 10,000",17970,> 2 ,Y,No,13,3,4,80,1,15,2,3,> 12 years,10,4,12
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,1118,2,Male,> 70,3,3,Healthcare Representative,2,Single,">10,000",15322,> 5 years,Y,No,19,3,4,80,0,18,4,3, 6 - 12 years,6,4,0
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,1119,3,Male,> 70,2,3,Sales Executive,3,Divorced,"5,000 - 10,000",5569,> 2 ,Y,Yes,14,3,2,80,2,9,2,3, 6 - 12 years,7,2,7
25-34,No,Travel_Rarely," >1,000",Research & Development,> 20km,4,Life Sciences,1,1120,3,Female,> 70,3,1,Research Scientist,4,Divorced,"< 5,000",26968,3 - 5 years,Y,No,22,4,1,80,1,11,1,3, 6 - 12 years,5,1,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,1121,4,Female,> 70,3,3,Manufacturing Director,2,Divorced,"5,000 - 10,000",8039,> 2 ,Y,No,17,3,2,80,3,10,3,2, 6 - 12 years,7,1,7
45-54,No,Travel_Rarely,below 500,Sales,< 10 km,1,Marketing,1,1124,1,Male,40 - 70,3,4,Manager,3,Married,">10,000",15596,> 5 years,Y,No,12,3,4,80,1,23,3,3, 6 - 12 years,9,4,9
35-44,No,Travel_Rarely,below 500,Sales,< 10 km,2,Marketing,1,1125,4,Male,<40,3,3,Sales Executive,2,Single,"5,000 - 10,000",20619,> 5 years,Y,No,16,3,3,80,0,10,2,3,< 2 years,0,0,0
35-44,No,Travel_Frequently," >1,000",Research & Development,> 20km,3,Life Sciences,1,1126,3,Female,> 70,3,3,Manufacturing Director,1,Married,">10,000",11535,> 5 years,Y,No,11,3,3,80,1,18,1,3, 6 - 12 years,7,0,1
35-44,Yes,Travel_Frequently,below 500,Research & Development,< 10 km,3,Life Sciences,1,1127,1,Male,> 70,3,4,Healthcare Representative,4,Divorced,">10,000",13547,> 5 years,Y,No,11,3,4,80,3,21,4,3,> 12 years,7,11,5
35-44,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Medical,1,1128,3,Male,40 - 70,2,5,Research Director,3,Single,">10,000",17544,> 2 ,Y,No,14,3,1,80,0,21,2,4,> 12 years,7,4,9
<25,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Technical Degree,1,1131,4,Female,40 - 70,2,1,Research Scientist,2,Single,"< 5,000",25326,> 2 ,Y,Yes,11,3,3,80,0,2,6,4,< 2 years,2,2,2
35-44,No,Non-Travel,below 500,Research & Development,< 10 km,3,Life Sciences,1,1132,3,Male,40 - 70,3,2,Laboratory Technician,2,Single,"5,000 - 10,000",8770,> 5 years,Y,No,15,3,3,80,0,9,2,2,3 - 5 years,4,0,3
35-44,No,Non-Travel,below 500,Research & Development,10 - 20 km,4,Life Sciences,1,1133,1,Male,> 70,3,2,Manufacturing Director,4,Single,"5,000 - 10,000",23238,> 2 ,Y,No,20,4,1,80,0,18,0,3, 6 - 12 years,9,0,9
25-34,No,Travel_Frequently,500 - 1000,Sales,10 - 20 km,3,Life Sciences,1,1135,3,Male,40 - 70,4,1,Sales Representative,4,Married,"< 5,000",21981,> 2 ,Y,No,12,3,1,80,1,3,4,3,< 2 years,2,2,2
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Life Sciences,1,1136,1,Male,40 - 70,2,1,Research Scientist,2,Married,"< 5,000",19911,> 2 ,Y,No,17,3,1,80,0,6,2,1,3 - 5 years,3,0,4
35-44,No,Travel_Frequently," >1,000",Sales,10 - 20 km,2,Marketing,1,1137,4,Male,40 - 70,3,2,Sales Executive,4,Divorced,"< 5,000",18500,> 2 ,Y,No,11,3,4,80,1,5,3,3,3 - 5 years,2,0,2
45-54,No,Travel_Rarely,below 500,Sales,< 10 km,4,Technical Degree,1,1138,4,Male,40 - 70,2,4,Sales Executive,2,Married,">10,000",11879,> 5 years,Y,No,17,3,2,80,1,22,3,3, 6 - 12 years,8,2,3
25-34,No,Travel_Frequently," >1,000",Research & Development,< 10 km,2,Life Sciences,1,1140,4,Male,> 70,3,2,Manufacturing Director,3,Single,"< 5,000",15834,> 2 ,Y,No,11,3,4,80,0,5,3,2,3 - 5 years,2,0,2
25-34,No,Travel_Frequently,below 500,Research & Development,< 10 km,3,Life Sciences,1,1143,4,Female,40 - 70,3,1,Research Scientist,2,Divorced,"< 5,000",17940,> 2 ,Y,No,14,3,4,80,2,8,2,2, 6 - 12 years,5,1,1
35-44,No,Travel_Rarely,below 500,Research & Development,> 20km,3,Medical,1,1148,2,Male,40 - 70,1,2,Laboratory Technician,4,Single,"< 5,000",9558,3 - 5 years,Y,No,19,3,1,80,0,16,3,3,< 2 years,0,0,0
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Medical,1,1150,2,Male,> 70,2,2,Manufacturing Director,4,Married,"5,000 - 10,000",17689,> 2 ,Y,Yes,15,3,3,80,1,10,2,2, 6 - 12 years,7,1,2
35-44,No,Travel_Rarely,below 500,Human Resources,< 10 km,3,Human Resources,1,1152,3,Male,<40,4,1,Human Resources,3,Married,"< 5,000",6004,> 2 ,Y,No,13,3,4,80,1,7,2,4, 6 - 12 years,6,5,0
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1154,3,Male,<40,2,1,Research Scientist,3,Divorced,"< 5,000",22088,> 2 ,Y,Yes,14,3,4,80,1,3,2,3,3 - 5 years,1,0,2
<25,Yes,Non-Travel,below 500,Research & Development,< 10 km,1,Medical,1,1156,3,Male,> 70,3,1,Laboratory Technician,3,Single,"< 5,000",13556,> 2 ,Y,No,12,3,4,80,0,0,0,3,< 2 years,0,0,0
25-34,Yes,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,1157,1,Female,> 70,3,2,Sales Executive,1,Single,"5,000 - 10,000",18385,> 2 ,Y,Yes,17,3,1,80,0,6,3,3,3 - 5 years,2,0,3
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,4,Life Sciences,1,1158,2,Male,40 - 70,3,1,Laboratory Technician,4,Married,"< 5,000",9051,> 5 years,Y,Yes,11,3,1,80,1,6,4,3,< 2 years,0,0,0
25-34,Yes,Travel_Frequently,500 - 1000,Research & Development,10 - 20 km,3,Medical,1,1160,3,Male,> 70,3,1,Laboratory Technician,3,Married,"< 5,000",6233,> 2 ,Y,No,12,3,3,80,1,2,5,2,< 2 years,2,2,2
35-44,No,Travel_Rarely,below 500,Research & Development,> 20km,2,Medical,1,1161,3,Female,40 - 70,2,2,Healthcare Representative,4,Divorced,"5,000 - 10,000",17171,> 5 years,Y,No,13,3,3,80,2,9,2,3, 6 - 12 years,2,1,3
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,1162,4,Male,40 - 70,2,1,Research Scientist,3,Married,"< 5,000",7950,> 2 ,Y,No,13,3,3,80,1,4,0,3,3 - 5 years,2,2,2
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,1,Life Sciences,1,1163,2,Female,40 - 70,3,2,Sales Executive,3,Married,"5,000 - 10,000",5829,> 2 ,Y,No,20,4,1,80,0,6,3,2, 6 - 12 years,5,1,3
35-44,No,Travel_Rarely,500 - 1000,Human Resources,< 10 km,4,Technical Degree,1,1164,3,Male,> 70,3,1,Human Resources,3,Single,"< 5,000",7108,> 2 ,Y,No,17,3,2,80,0,6,2,1,3 - 5 years,4,1,4
25-34,Yes,Travel_Rarely,below 500,Sales,> 20km,1,Life Sciences,1,1165,4,Female,40 - 70,2,3,Sales Executive,1,Married,"5,000 - 10,000",11162,> 2 ,Y,No,13,3,1,80,1,11,3,1, 6 - 12 years,8,3,10
35-44,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,4,Medical,1,1166,2,Female,> 70,3,3,Research Director,3,Single,">10,000",13782,> 5 years,Y,No,17,3,3,80,0,20,3,2,> 12 years,7,2,13
35-44,Yes,Travel_Frequently,below 500,Sales,10 - 20 km,3,Life Sciences,1,1167,3,Male,40 - 70,3,4,Sales Executive,1,Single,">10,000",2447,> 2 ,Y,Yes,12,3,2,80,0,22,2,2,> 12 years,9,13,14
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,1171,2,Male,40 - 70,3,2,Sales Executive,1,Single,"5,000 - 10,000",2253,> 5 years,Y,No,13,3,4,80,0,9,3,4, 6 - 12 years,4,1,5
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Medical,1,1172,4,Male,40 - 70,2,1,Laboratory Technician,3,Married,"< 5,000",16340,> 5 years,Y,No,12,3,2,80,1,10,2,3, 6 - 12 years,0,1,7
<25,No,Travel_Rarely,below 500,Research & Development,> 20km,3,Medical,1,1173,4,Male,40 - 70,3,1,Laboratory Technician,2,Single,"< 5,000",6409,> 5 years,Y,No,22,4,4,80,0,6,2,3,3 - 5 years,3,1,2
25-34,Yes,Travel_Rarely," >1,000",Research & Development,10 - 20 km,1,Life Sciences,1,1175,3,Female,> 70,3,1,Laboratory Technician,4,Married,"< 5,000",22955,> 2 ,Y,Yes,11,3,4,80,0,1,4,2,< 2 years,1,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Medical,1,1177,1,Male,> 70,4,1,Laboratory Technician,4,Married,"< 5,000",13421,> 2 ,Y,No,22,4,2,80,1,8,2,3, 6 - 12 years,7,0,7
25-34,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Marketing,1,1179,3,Male,> 70,2,2,Sales Executive,3,Married,"5,000 - 10,000",2706,> 2 ,Y,No,18,3,1,80,1,10,3,3, 6 - 12 years,3,1,4
35-44,No,Travel_Frequently,500 - 1000,Research & Development,> 20km,2,Medical,1,1180,3,Female,> 70,2,2,Research Scientist,4,Married,"< 5,000",21203,> 5 years,Y,Yes,13,3,4,80,1,16,3,1,< 2 years,1,0,0
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1182,3,Male,40 - 70,2,3,Manufacturing Director,2,Divorced,">10,000",19588,> 2 ,Y,No,18,3,2,80,1,15,2,4, 6 - 12 years,7,6,4
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Medical,1,1184,4,Male,> 70,2,2,Healthcare Representative,1,Single,"5,000 - 10,000",25755,> 2 ,Y,No,20,4,3,80,0,14,3,3,> 12 years,9,4,9
35-44,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,4,Other,1,1185,4,Male,40 - 70,2,1,Laboratory Technician,4,Married,"< 5,000",26537,> 2 ,Y,No,13,3,2,80,1,2,2,4,< 2 years,2,2,2
35-44,Yes,Travel_Rarely," >1,000",Sales,< 10 km,3,Marketing,1,1188,1,Female,> 70,1,2,Sales Executive,3,Single,"5,000 - 10,000",9489,> 5 years,Y,No,13,3,2,80,0,7,2,2,3 - 5 years,3,1,3
25-34,No,Non-Travel,500 - 1000,Sales,< 10 km,1,Life Sciences,1,1190,3,Female,> 70,3,1,Sales Representative,1,Divorced,"< 5,000",14947,> 2 ,Y,No,12,3,3,80,3,1,3,3,< 2 years,0,0,0
>55,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Technical Degree,1,1191,4,Female,> 70,3,5,Manager,1,Divorced,">10,000",18575,3 - 5 years,Y,No,13,3,4,80,1,28,2,3,3 - 5 years,2,4,2
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Medical,1,1192,2,Female,40 - 70,3,1,Laboratory Technician,4,Married,"< 5,000",26342,> 2 ,Y,No,13,3,1,80,1,10,5,3, 6 - 12 years,8,0,8
<25,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Life Sciences,1,1193,3,Male,40 - 70,3,1,Research Scientist,1,Single,"< 5,000",7172,> 2 ,Y,No,25,4,3,80,0,1,4,3,< 2 years,1,0,0
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,1195,1,Female,> 70,3,1,Research Scientist,3,Married,"< 5,000",20100,3 - 5 years,Y,Yes,19,3,3,80,1,7,2,2,3 - 5 years,2,0,2
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1196,4,Female,40 - 70,2,2,Manufacturing Director,4,Married,"5,000 - 10,000",9961,> 2 ,Y,No,13,3,2,80,1,14,2,2,> 12 years,8,3,11
<25,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,1198,1,Male,> 70,2,1,Laboratory Technician,3,Single,"< 5,000",12828,> 2 ,Y,No,12,3,1,80,0,2,2,2,< 2 years,2,1,2
35-44,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,1200,3,Male,> 70,3,1,Research Scientist,3,Single,"< 5,000",10826,> 2 ,Y,Yes,11,3,3,80,0,6,4,3, 6 - 12 years,4,0,2
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Medical,1,1201,4,Female,40 - 70,3,5,Manager,3,Divorced,">10,000",18640,> 5 years,Y,No,18,3,2,80,1,26,6,3, 6 - 12 years,7,4,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,1,Life Sciences,1,1202,2,Female,40 - 70,1,1,Research Scientist,4,Married,"< 5,000",26933,> 2 ,Y,Yes,18,3,1,80,1,6,2,2,3 - 5 years,4,1,3
<25,Yes,Travel_Frequently," >1,000",Research & Development,< 10 km,4,Life Sciences,1,1203,3,Male,40 - 70,2,1,Research Scientist,4,Married,"< 5,000",4223,> 2 ,Y,Yes,11,3,2,80,1,1,5,3,< 2 years,0,0,0
45-54,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Marketing,1,1204,3,Female,40 - 70,3,4,Manager,1,Married,">10,000",24097,> 5 years,Y,No,23,4,1,80,0,28,2,3,> 12 years,15,15,9
35-44,No,Non-Travel,below 500,Research & Development,10 - 20 km,3,Life Sciences,1,1206,4,Male,> 70,1,1,Research Scientist,3,Single,"< 5,000",4279,> 2 ,Y,No,13,3,4,80,0,6,3,3,< 2 years,0,0,0
25-34,No,Travel_Rarely,below 500,Human Resources,< 10 km,3,Human Resources,1,1207,2,Male,> 70,3,1,Human Resources,3,Married,"< 5,000",8429,> 2 ,Y,No,13,3,4,80,1,5,2,3,3 - 5 years,4,1,4
35-44,Yes,Non-Travel,500 - 1000,Research & Development,< 10 km,2,Life Sciences,1,1210,1,Male,> 70,2,1,Research Scientist,1,Divorced,"< 5,000",20293,> 5 years,Y,No,17,3,1,80,1,5,2,1,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Sales,> 20km,4,Life Sciences,1,1211,3,Male,40 - 70,3,2,Sales Executive,1,Divorced,"< 5,000",13192,> 5 years,Y,No,19,3,3,80,3,8,3,3,3 - 5 years,3,0,3
35-44,No,Travel_Frequently," >1,000",Sales,< 10 km,4,Medical,1,1212,2,Male,40 - 70,3,2,Sales Executive,2,Married,"< 5,000",25440,3 - 5 years,Y,No,12,3,4,80,3,5,2,3,< 2 years,0,0,0
45-54,No,Travel_Frequently," >1,000",Research & Development,< 10 km,3,Medical,1,1215,4,Female,<40,3,4,Manager,1,Married,">10,000",9490,> 2 ,Y,No,22,4,3,80,1,32,3,3,< 2 years,2,2,2
25-34,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,4,Medical,1,1216,4,Male,> 70,2,1,Laboratory Technician,1,Married,"< 5,000",12449,> 2 ,Y,No,12,3,3,80,3,6,2,3, 6 - 12 years,5,3,3
45-54,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,2,Life Sciences,1,1217,4,Male,40 - 70,3,5,Research Director,2,Married,">10,000",10849,3 - 5 years,Y,No,11,3,1,80,1,25,2,3,3 - 5 years,2,0,3
35-44,No,Travel_Rarely," >1,000",Sales,10 - 20 km,4,Life Sciences,1,1218,3,Male,> 70,3,2,Sales Executive,1,Married,"5,000 - 10,000",21026,> 5 years,Y,Yes,15,3,4,80,3,15,2,3, 6 - 12 years,7,1,7
<25,Yes,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,2,Life Sciences,1,1219,4,Female,> 70,3,1,Laboratory Technician,2,Married,"< 5,000",3372,> 2 ,Y,No,13,3,1,80,1,1,3,1,< 2 years,0,0,0
25-34,No,Travel_Frequently," >1,000",Sales,> 20km,3,Medical,1,1220,2,Female,> 70,3,2,Sales Executive,3,Married,"< 5,000",4905,> 2 ,Y,No,12,3,1,80,1,10,3,2, 6 - 12 years,7,0,1
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,1221,3,Male,40 - 70,1,1,Laboratory Technician,3,Divorced,"< 5,000",6865,> 2 ,Y,No,14,3,3,80,1,7,4,3, 6 - 12 years,7,1,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,1224,3,Male,40 - 70,3,2,Laboratory Technician,3,Divorced,"< 5,000",11309,> 2 ,Y,No,13,3,1,80,3,10,4,2, 6 - 12 years,7,8,9
35-44,No,Travel_Rarely,below 500,Research & Development,> 20km,4,Other,1,1225,4,Male,<40,3,2,Research Scientist,4,Single,"< 5,000",7744,> 2 ,Y,No,25,4,2,80,0,20,3,3,> 12 years,11,13,17
<25,No,Travel_Rarely,500 - 1000,Sales,> 20km,3,Marketing,1,1226,3,Male,40 - 70,4,1,Sales Representative,4,Single,"< 5,000",5050,> 2 ,Y,No,17,3,4,80,0,2,2,3,< 2 years,1,2,2
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Technical Degree,1,1228,4,Male,40 - 70,3,2,Manufacturing Director,4,Divorced,"5,000 - 10,000",17433,> 2 ,Y,No,11,3,3,80,1,12,3,2, 6 - 12 years,3,1,4
35-44,No,Non-Travel,below 500,Human Resources,< 10 km,5,Medical,1,1231,4,Male,> 70,4,2,Human Resources,1,Married,"5,000 - 10,000",12858,> 5 years,Y,No,16,3,1,80,1,10,3,4,3 - 5 years,3,0,3
>55,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,1233,2,Male,40 - 70,4,2,Sales Executive,4,Divorced,"5,000 - 10,000",10893,> 2 ,Y,Yes,18,3,2,80,1,12,3,3, 6 - 12 years,7,1,9
25-34,No,Travel_Frequently,below 500,Research & Development,10 - 20 km,3,Other,1,1234,3,Female,> 70,2,1,Laboratory Technician,2,Married,"< 5,000",7331,> 2 ,Y,No,20,4,3,80,1,2,2,3,< 2 years,2,2,2
25-34,No,Travel_Frequently," >1,000",Research & Development,< 10 km,2,Life Sciences,1,1235,4,Female,<40,3,2,Research Scientist,3,Single,"< 5,000",2338,3 - 5 years,Y,Yes,14,3,4,80,0,10,2,3, 6 - 12 years,7,0,7
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Technical Degree,1,1237,3,Female,> 70,1,3,Manufacturing Director,1,Divorced,">10,000",4235,> 2 ,Y,Yes,21,4,3,80,1,17,2,3, 6 - 12 years,7,7,7
